"country","SFTGcode","COW","risk_in_2022","risk_in_2022_23","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr"
"Laos","LAO",812,0.01294,0.02156,0,1,0,1,0,0,0,4.29045944114839,15.837613071286,5.94138031100518,0.0141587240438148,0,1,1,0.51,0,1,0,1,2,1,0,0,0.066,0,0,0,1,0.307,-2.02103336354801,0
"Cameroon","CAO",471,0.01282,0.02175,0,0,1,0,0,0,0,4.12713438504509,17.1187294653392,6.94982014155762,0.0220560586189119,1,1,1,0.86,6.36647044773144,0,4,1,4,0,1,1,0.693,0,0,0,1,-0.084,-2.79111156007667,0
"Egypt","EGY",651,0.01274,0.0255,0,1,0,0,0,1,0,4.23410650459726,18.4547098650076,4.07430975749267,0.0207386073095301,1,1,1,0.18,4.72738781871234,1,3,1,3,0,1,0,0.169,0,0,0,1,-0.484,-2.98485159256071,0
"Turkey","TUR",640,0.01272,0.01894,0,1,0,0,1,0,0,4.59511985013459,18.2349257717276,4.39886348958455,0.00779881152420832,1,1,0,0.32,6.10479323241499,1,4,0,2,0,1,0,0.181,1,0,0,1,0.457,-2.2524741877965,0
"Angola","ANG",540,0.01259,0.02339,0,1,1,0,0,0,0,3.85014760171006,17.3372163690849,6.94982014155762,-0.000909500391115012,1,1,1,0.79,0,1,4,1,3,0,1,0,0.625,0,0,0,1,-0.008,-2.4074358692424,0
"Cambodia","CAM",811,0.0121,0.02325,0,1,0,1,0,0,0,4.23410650459726,16.6502123283027,4.69041575982343,0.0182632717088888,0,1,0,0.21,0,1,3,1,3,0,0,0,0.262,0,0,0,1,-1.035,-1.39629222586369,0
"Burkina Faso","BFO",439,0.01206,0.01778,0,0,1,0,0,0,0,4.12713438504509,16.8849732202054,7.26636084983398,0.0502396221677955,1,1,0,0.74,6.91473089271856,1,4,1,4,0,1,1,0.712,0,0,0,0,1.314,-2.2936795292329,0
"Ivory Coast","IVO",437,0.01187,0.02431,0,1,1,0,0,0,0,4.12713438504509,17.112499761217,7.60920495189872,0.0511887064411153,1,1,0,0.82,0,1,4,1,4,0,1,1,0.647,0,0,0,1,-0.058,-2.4407668999564,0
"Libya","LIB",620,0.01175,0.02657,0,1,0,0,0,1,0,4.26267987704132,15.7808859971487,3.08220700148449,0.251875081447089,1,1,0,0.79,0,1,3,1,1,0,0,0,0.425,0,0,0,1,0.542,-1.9761151982657,0
"Tanzania","TAZ",510,0.01125,0.02839,0,1,1,0,0,0,0,4.11087386417331,17.9285208596986,5.89067059000926,0.0285872697518437,0,1,0,0.74,0,1,4,1,3,0,1,1,0.666,0,0,0,1,1.078,-2.98451105216436,0
